Longitud,Latitud,Trampa
28.647,-14.184,Jaula
26.097,-13.037,Cepo
26.847,-14.029,Lazo
28.956,-12.099,Lazo
28.134,-12.964,Cepo
25.3,-13.055,Cepo
25.342,-14.989,Jaula
26.318,-13.272,Cepo
28.304,-12.439,Lazo
25.293,-12.215,Lazo
28.707,-14.185,Veneno
28.73,-14.408,Lazo
28.675,-14.081,Cepo
28.757,-12.533,Cepo
28.47,-13.177,Veneno
26.469,-12.553,Jaula
26.898,-13.779,Jaula
27.794,-12.885,Veneno
28.326,-12.911,Lazo
27.131,-13.403,Lazo
26.72,-14.235,Lazo
26.405,-14.593,Cepo
25.047,-14.202,Cepo
28.151,-14.873,Lazo
27.006,-13.921,Veneno
25.826,-13.901,Veneno
27.415,-12.252,Jaula
27.662,-14.342,Lazo
25.672,-13.897,Veneno
25.721,-13.609,Veneno
